Mapped_sgRNA_sequence	Chrom	Start	End	Strand
4|sgWASH1_4|WASH1	chr1	16855	16875	-
4|sgOR4F3_1|OR4F3	chr1	63106	63126	-
4|sgOR4F4_1|OR4F4	chr1	69402	69422	+
4|sgOR4F5_4|OR4F5	chr1	69495	69515	+
4|sgOR4F5_2|OR4F5	chr1	69559	69579	-
4|sgOR4F5_3|OR4F5	chr1	69611	69631	-
4|sgWASH1_1|WASH1	chr1	188423	188443	+
4|sgOR4F16_4|OR4F16	chr1	451269	451289	+
4|sgOR4F16_2|OR4F16	chr1	451358	451378	-
4|sgOR4F21_2|OR4F21	chr1	686284	686304	-
4|sgOR4F29_3|OR4F29	chr1	686320	686340	+
4|sgSEPTIN7_1|SEPTIN7	chr1	781982	782002	-
4|sgFBXO25_4|FBXO25	chr1	808578	808598	-
1|Neg_Control_Human_GA_0441|NegCtrl	chr1	831847	831867	+
4|sgSAMD11_2|SAMD11	chr1	930313	930333	-
4|sgSAMD11_4|SAMD11	chr1	935825	935845	-
4|sgSAMD11_3|SAMD11	chr1	939107	939127	+
4|sgSAMD11_1|SAMD11	chr1	941221	941241	-
4|sgNOC2L_2|NOC2L	chr1	952008	952028	+
4|sgNOC2L_4|NOC2L	chr1	953263	953283	-
4|sgNOC2L_1|NOC2L	chr1	956145	956165	-
4|sgNOC2L_3|NOC2L	chr1	958945	958965	-
4|sgKLHL17_4|KLHL17	chr1	961487	961507	+
4|sgKLHL17_2|KLHL17	chr1	961712	961732	-
4|sgKLHL17_3|KLHL17	chr1	962422	962442	+
4|sgKLHL17_1|KLHL17	chr1	963374	963394	+
4|sgPLEKHN1_3|PLEKHN1	chr1	966742	966762	-
4|sgPLEKHN1_1|PLEKHN1	chr1	970374	970394	+
4|sgPLEKHN1_2|PLEKHN1	chr1	970697	970717	-
4|sgPLEKHN1_4|PLEKHN1	chr1	972316	972336	+
4|sgPERM1_2|PERM1	chr1	979840	979860	-
4|sgPERM1_1|PERM1	chr1	980051	980071	+
4|sgPERM1_3|PERM1	chr1	980282	980302	-
4|sgPERM1_4|PERM1	chr1	980707	980727	-
4|sgHES4_4|HES4	chr1	999393	999413	+
4|sgHES4_1|HES4	chr1	999553	999573	-
4|sgHES4_3|HES4	chr1	999693	999713	-
4|sgHES4_2|HES4	chr1	999882	999902	-
4|sgISG15_2|ISG15	chr1	1014047	1014067	-
4|sgISG15_3|ISG15	chr1	1014123	1014143	-
4|sgISG15_1|ISG15	chr1	1014229	1014249	+
4|sgISG15_4|ISG15	chr1	1014270	1014290	+
4|sgAGRN_4|AGRN	chr1	1043435	1043455	+
4|sgAGRN_1|AGRN	chr1	1044398	1044418	+
4|sgAGRN_2|AGRN	chr1	1046680	1046700	+
4|sgAGRN_3|AGRN	chr1	1048022	1048042	-
4|sgRNF223_4|RNF223	chr1	1072081	1072101	-
4|sgRNF223_1|RNF223	chr1	1072274	1072294	+
4|sgRNF223_3|RNF223	chr1	1072370	1072390	-
4|sgRNF223_2|RNF223	chr1	1072404	1072424	+
4|sgC1orf159_2|C1orf159	chr1	1085923	1085943	+
4|sgC1orf159_3|C1orf159	chr1	1087531	1087551	+
4|sgC1orf159_1|C1orf159	chr1	1091469	1091489	-
4|sgC1orf159_4|C1orf159	chr1	1091506	1091526	+
4|sgTTLL10_2|TTLL10	chr1	1180105	1180125	+
4|sgTTLL10_4|TTLL10	chr1	1180533	1180553	-
4|sgTTLL10_3|TTLL10	chr1	1182402	1182422	+
4|sgTTLL10_1|TTLL10	chr1	1183001	1183021	+
4|sgTNFRSF18_2|TNFRSF18	chr1	1204208	1204228	+
4|sgTNFRSF18_1|TNFRSF18	chr1	1204445	1204465	-
4|sgTNFRSF18_3|TNFRSF18	chr1	1205437	1205457	-
4|sgTNFRSF18_4|TNFRSF18	chr1	1206375	1206395	+
4|sgTNFRSF4_4|TNFRSF4	chr1	1212076	1212096	-
4|sgTNFRSF4_3|TNFRSF4	chr1	1212659	1212679	-
4|sgTNFRSF4_2|TNFRSF4	chr1	1213661	1213681	+
4|sgTNFRSF4_1|TNFRSF4	chr1	1213730	1213750	-
4|sgSDF4_2|SDF4	chr1	1218885	1218905	-
4|sgSDF4_1|SDF4	chr1	1223267	1223287	-
4|sgSDF4_3|SDF4	chr1	1228603	1228623	-
4|sgSDF4_4|SDF4	chr1	1228643	1228663	+
4|sgB3GALT6_4|B3GALT6	chr1	1232394	1232414	-
4|sgB3GALT6_1|B3GALT6	chr1	1232655	1232675	+
4|sgB3GALT6_2|B3GALT6	chr1	1232723	1232743	-
4|sgB3GALT6_3|B3GALT6	chr1	1232902	1232922	+
4|sgFAM132A_2|FAM132A	chr1	1243483	1243503	+
4|sgFAM132A_3|FAM132A	chr1	1243981	1244001	+
4|sgFAM132A_4|FAM132A	chr1	1244229	1244249	-
4|sgFAM132A_1|FAM132A	chr1	1244434	1244454	-
4|sgUBE2J2_2|UBE2J2	chr1	1257227	1257247	-
4|sgUBE2J2_1|UBE2J2	chr1	1263334	1263354	+
4|sgUBE2J2_4|UBE2J2	chr1	1267858	1267878	+
4|sgUBE2J2_3|UBE2J2	chr1	1267947	1267967	-
4|sgSCNN1D_2|SCNN1D	chr1	1286103	1286123	+
4|sgSCNN1D_4|SCNN1D	chr1	1286256	1286276	+
4|sgSCNN1D_1|SCNN1D	chr1	1287137	1287157	+
4|sgSCNN1D_3|SCNN1D	chr1	1287538	1287558	+
4|sgACAP3_3|ACAP3	chr1	1295903	1295923	-
4|sgACAP3_1|ACAP3	chr1	1297820	1297840	+
4|sgACAP3_2|ACAP3	chr1	1298649	1298669	+
4|sgACAP3_4|ACAP3	chr1	1302941	1302961	-
4|sgPUSL1_4|PUSL1	chr1	1308685	1308705	+
4|sgPUSL1_2|PUSL1	chr1	1309092	1309112	-
4|sgPUSL1_1|PUSL1	chr1	1309536	1309556	-
4|sgPUSL1_3|PUSL1	chr1	1309779	1309799	-
4|sgCPSF3L_2|CPSF3L	chr1	1313881	1313901	-
4|sgCPSF3L_3|CPSF3L	chr1	1315399	1315419	+
4|sgCPSF3L_1|CPSF3L	chr1	1319380	1319400	-
4|sgCPSF3L_4|CPSF3L	chr1	1321919	1321939	-
4|sgCPTP_4|CPTP	chr1	1326995	1327015	+
4|sgCPTP_2|CPTP	chr1	1327301	1327321	+
4|sgCPTP_3|CPTP	chr1	1327417	1327437	-
4|sgCPTP_1|CPTP	chr1	1327504	1327524	-
4|sgTAS1R3_3|TAS1R3	chr1	1331742	1331762	-
4|sgTAS1R3_1|TAS1R3	chr1	1332269	1332289	-
4|sgTAS1R3_2|TAS1R3	chr1	1332694	1332714	-
4|sgTAS1R3_4|TAS1R3	chr1	1332935	1332955	+
4|sgDVL1_1|DVL1	chr1	1338403	1338423	-
4|sgDVL1_4|DVL1	chr1	1339767	1339787	-
4|sgDVL1_2|DVL1	chr1	1340128	1340148	-
4|sgDVL1_3|DVL1	chr1	1342040	1342060	+
4|sgMXRA8_3|MXRA8	chr1	1354875	1354895	-
4|sgMXRA8_1|MXRA8	chr1	1355038	1355058	-
4|sgMXRA8_4|MXRA8	chr1	1355229	1355249	+
4|sgMXRA8_2|MXRA8	chr1	1355733	1355753	+
4|sgAURKAIP1_3|AURKAIP1	chr1	1374186	1374206	+
4|sgAURKAIP1_2|AURKAIP1	chr1	1374222	1374242	+
4|sgAURKAIP1_4|AURKAIP1	chr1	1374334	1374354	-
4|sgAURKAIP1_1|AURKAIP1	chr1	1374369	1374389	+
4|sgCCNL2_1|CCNL2	chr1	1390816	1390836	+
4|sgCCNL2_3|CCNL2	chr1	1395391	1395411	-
4|sgCCNL2_2|CCNL2	chr1	1398598	1398618	-
4|sgCCNL2_4|CCNL2	chr1	1399257	1399277	-
4|sgMRPL20_4|MRPL20	chr1	1405823	1405843	-
4|sgMRPL20_2|MRPL20	chr1	1406985	1407005	-
4|sgMRPL20_1|MRPL20	chr1	1407151	1407171	+
4|sgANKRD65_4|ANKRD65	chr1	1419506	1419526	+
4|sgANKRD65_3|ANKRD65	chr1	1420069	1420089	+
4|sgANKRD65_1|ANKRD65	chr1	1420162	1420182	+
4|sgANKRD65_2|ANKRD65	chr1	1420437	1420457	-
4|sgTMEM88B_1|TMEM88B	chr1	1426353	1426373	-
4|sgTMEM88B_4|TMEM88B	chr1	1426378	1426398	-
4|sgTMEM88B_3|TMEM88B	chr1	1427574	1427594	-
4|sgVWA1_3|VWA1	chr1	1437066	1437086	+
4|sgVWA1_2|VWA1	chr1	1439068	1439088	+
4|sgVWA1_1|VWA1	chr1	1439161	1439181	-
4|sgVWA1_4|VWA1	chr1	1439225	1439245	+
4|sgATAD3C_4|ATAD3C	chr1	1452056	1452076	+
4|sgATAD3C_2|ATAD3C	chr1	1454400	1454420	+
4|sgATAD3C_1|ATAD3C	chr1	1455451	1455471	+
4|sgATAD3C_3|ATAD3C	chr1	1455812	1455832	+
4|sgATAD3B_4|ATAD3B	chr1	1477262	1477282	+
4|sgATAD3B_3|ATAD3B	chr1	1477265	1477285	+
4|sgATAD3B_2|ATAD3B	chr1	1485071	1485091	+
4|sgATAD3B_1|ATAD3B	chr1	1486151	1486171	+
4|sgATAD3A_4|ATAD3A	chr1	1520264	1520284	-
4|sgATAD3A_3|ATAD3A	chr1	1520585	1520605	-
4|sgATAD3A_2|ATAD3A	chr1	1522799	1522819	+
4|sgATAD3A_1|ATAD3A	chr1	1523860	1523880	+
4|sgTMEM240_1|TMEM240	chr1	1535685	1535705	-
4|sgTMEM240_4|TMEM240	chr1	1535723	1535743	-
4|sgTMEM240_2|TMEM240	chr1	1535767	1535787	-
4|sgTMEM240_3|TMEM240	chr1	1539766	1539786	+
4|sgSSU72_1|SSU72	chr1	1544880	1544900	+
4|sgSSU72_2|SSU72	chr1	1544947	1544967	-
4|sgSSU72_3|SSU72	chr1	1564882	1564902	-
4|sgSSU72_4|SSU72	chr1	1574460	1574480	+
4|sgC1orf233_3|C1orf233	chr1	1599586	1599606	+
4|sgC1orf233_2|C1orf233	chr1	1599649	1599669	+
4|sgC1orf233_4|C1orf233	chr1	1599690	1599710	+
4|sgC1orf233_1|C1orf233	chr1	1599890	1599910	+
4|sgMIB2_3|MIB2	chr1	1625081	1625101	+
4|sgMIB2_4|MIB2	chr1	1626881	1626901	+
4|sgMIB2_1|MIB2	chr1	1627292	1627312	+
4|sgMIB2_2|MIB2	chr1	1627797	1627817	-
4|sgMMP23B_2|MMP23B	chr1	1632288	1632308	-
4|sgMMP23B_3|MMP23B	chr1	1633270	1633290	+
4|sgMMP23B_4|MMP23B	chr1	1633803	1633823	+
4|sgCDK11B_3|CDK11B	chr1	1637461	1637481	-
4|sgCDK11B_1|CDK11B	chr1	1652466	1652486	-
4|sgSLC35E2B_4|SLC35E2B	chr1	1670116	1670136	-
4|sgSLC35E2B_1|SLC35E2B	chr1	1671546	1671566	-
4|sgSLC35E2_3|SLC35E2	chr1	1676084	1676104	+
4|sgSLC35E2B_2|SLC35E2B	chr1	1676131	1676151	+
4|sgMMP23B_1|MMP23B	chr1	1700204	1700224	-
4|sgCDK11A_2|CDK11A	chr1	1704603	1704623	-
4|sgCDK11A_3|CDK11A	chr1	1707441	1707461	+
4|sgCDK11B_2|CDK11B	chr1	1709613	1709633	-
4|sgCDK11A_1|CDK11A	chr1	1719329	1719349	-
4|sgCDK11B_4|CDK11B	chr1	1721632	1721652	+
4|sgCDK11A_4|CDK11A	chr1	1721650	1721670	-
4|sgSLC35E2_2|SLC35E2	chr1	1738989	1739009	+
4|sgSLC35E2_4|SLC35E2	chr1	1739314	1739334	-
4|sgSLC35E2B_3|SLC35E2B	chr1	1739353	1739373	+
4|sgSLC35E2_1|SLC35E2	chr1	1739354	1739374	-
4|sgNADK_3|NADK	chr1	1755375	1755395	-
4|sgNADK_4|NADK	chr1	1755445	1755465	+
4|sgNADK_1|NADK	chr1	1756504	1756524	-
4|sgNADK_2|NADK	chr1	1765290	1765310	-
4|sgGNB1_2|GNB1	chr1	1790542	1790562	-
4|sgGNB1_1|GNB1	chr1	1804458	1804478	-
4|sgGNB1_4|GNB1	chr1	1806501	1806521	+
4|sgGNB1_3|GNB1	chr1	1815814	1815834	-
4|sgCALML6_3|CALML6	chr1	1915713	1915733	+
4|sgCALML6_4|CALML6	chr1	1916493	1916513	+
4|sgCALML6_1|CALML6	chr1	1916753	1916773	+
4|sgCALML6_2|CALML6	chr1	1916788	1916808	+
4|sgTMEM52_2|TMEM52	chr1	1918119	1918139	+
4|sgTMEM52_1|TMEM52	chr1	1918303	1918323	-
4|sgTMEM52_4|TMEM52	chr1	1918895	1918915	-
4|sgTMEM52_3|TMEM52	chr1	1919033	1919053	+
4|sgCFAP74_2|CFAP74	chr1	1930239	1930259	+
4|sgCFAP74_4|CFAP74	chr1	1939683	1939703	+
4|sgCFAP74_3|CFAP74	chr1	1963827	1963847	-
4|sgCFAP74_1|CFAP74	chr1	1988542	1988562	-
4|sgC1orf222_4|C1orf222	chr1	1990891	1990911	-
4|sgC1orf222_3|C1orf222	chr1	1990910	1990930	+
4|sgC1orf222_2|C1orf222	chr1	1990916	1990936	-
4|sgC1orf222_1|C1orf222	chr1	1990928	1990948	-
4|sgGABRD_2|GABRD	chr1	2024936	2024956	+
4|sgGABRD_1|GABRD	chr1	2025370	2025390	+
4|sgGABRD_4|GABRD	chr1	2028149	2028169	+
4|sgGABRD_3|GABRD	chr1	2029251	2029271	-
4|sgPRKCZ_2|PRKCZ	chr1	2135257	2135277	+
4|sgPRKCZ_1|PRKCZ	chr1	2148902	2148922	+
4|sgPRKCZ_4|PRKCZ	chr1	2156070	2156090	+
4|sgPRKCZ_3|PRKCZ	chr1	2172042	2172062	+
4|sgFAAP20_1|FAAP20	chr1	2184529	2184549	+
4|sgFAAP20_2|FAAP20	chr1	2185069	2185089	-
4|sgFAAP20_3|FAAP20	chr1	2185197	2185217	+
4|sgFAAP20_4|FAAP20	chr1	2185248	2185268	+
4|sgC1orf86_2|C1orf86	chr1	2193798	2193818	+
4|sgC1orf86_1|C1orf86	chr1	2193866	2193886	+
4|sgC1orf86_3|C1orf86	chr1	2194029	2194049	-
4|sgC1orf86_4|C1orf86	chr1	2194094	2194114	+
4|sgSKI_4|SKI	chr1	2229321	2229341	+
4|sgSKI_1|SKI	chr1	2229433	2229453	+
4|sgSKI_3|SKI	chr1	2229629	2229649	+
1|Neg_Control_Human_0098|NegCtrl	chr1	2269507	2269527	-
4|sgSKI_2|SKI	chr1	2303851	2303871	+
4|sgMORN1_4|MORN1	chr1	2358575	2358595	+
4|sgMORN1_1|MORN1	chr1	2372580	2372600	-
4|sgMORN1_2|MORN1	chr1	2384965	2384985	+
4|sgMORN1_3|MORN1	chr1	2387459	2387479	-
4|sgRER1_3|RER1	chr1	2395819	2395839	+
4|sgRER1_1|RER1	chr1	2397148	2397168	-
4|sgRER1_2|RER1	chr1	2399433	2399453	-
4|sgRER1_4|RER1	chr1	2400869	2400889	+
4|sgPEX10_2|PEX10	chr1	2408510	2408530	+
4|sgPEX10_4|PEX10	chr1	2408805	2408825	-
4|sgPEX10_3|PEX10	chr1	2410359	2410379	+
4|sgPEX10_1|PEX10	chr1	2412433	2412453	-
4|sgPLCH2_2|PLCH2	chr1	2480185	2480205	+
4|sgPLCH2_1|PLCH2	chr1	2489356	2489376	+
4|sgPLCH2_3|PLCH2	chr1	2494920	2494940	-
4|sgPLCH2_4|PLCH2	chr1	2496895	2496915	-
4|sgPANK4_2|PANK4	chr1	2515624	2515644	+
4|sgPANK4_4|PANK4	chr1	2519197	2519217	-
4|sgPANK4_1|PANK4	chr1	2520809	2520829	+
4|sgPANK4_3|PANK4	chr1	2521724	2521744	-
4|sgHES5_1|HES5	chr1	2529690	2529710	-
4|sgHES5_2|HES5	chr1	2529847	2529867	-
4|sgHES5_4|HES5	chr1	2529921	2529941	-
4|sgHES5_3|HES5	chr1	2529979	2529999	+
4|sgTNFRSF14_1|TNFRSF14	chr1	2557782	2557802	+
4|sgTNFRSF14_3|TNFRSF14	chr1	2558334	2558354	+
4|sgTNFRSF14_2|TNFRSF14	chr1	2558446	2558466	+
4|sgTNFRSF14_4|TNFRSF14	chr1	2560660	2560680	-
4|sgFAM213B_2|FAM213B	chr1	2586891	2586911	+
4|sgFAM213B_3|FAM213B	chr1	2587110	2587130	+
4|sgFAM213B_4|FAM213B	chr1	2587170	2587190	-
4|sgFAM213B_1|FAM213B	chr1	2587770	2587790	+
4|sgMMEL1_1|MMEL1	chr1	2598208	2598228	-
4|sgMMEL1_3|MMEL1	chr1	2605573	2605593	-
4|sgMMEL1_4|MMEL1	chr1	2609687	2609707	-
4|sgMMEL1_2|MMEL1	chr1	2609798	2609818	-
4|sgTTC34_1|TTC34	chr1	2645341	2645361	-
4|sgTTC34_2|TTC34	chr1	2785858	2785878	+
4|sgTTC34_4|TTC34	chr1	2787558	2787578	-
4|sgTTC34_3|TTC34	chr1	2787697	2787717	-
4|sgACTRT2_3|ACTRT2	chr1	3021798	3021818	-
4|sgACTRT2_4|ACTRT2	chr1	3021906	3021926	-
4|sgACTRT2_2|ACTRT2	chr1	3022081	3022101	+
4|sgACTRT2_1|ACTRT2	chr1	3022216	3022236	+
4|sgPRDM16_4|PRDM16	chr1	3385213	3385233	+
4|sgPRDM16_2|PRDM16	chr1	3404832	3404852	+
4|sgPRDM16_3|PRDM16	chr1	3411456	3411476	-
4|sgPRDM16_1|PRDM16	chr1	3412010	3412030	+
1|Neg_Control_Human_GA_0500|NegCtrl	chr1	3417024	3417044	+
4|sgARHGEF16_4|ARHGEF16	chr1	3463530	3463550	+
4|sgARHGEF16_1|ARHGEF16	chr1	3466148	3466168	+
4|sgARHGEF16_3|ARHGEF16	chr1	3467267	3467287	+
4|sgARHGEF16_2|ARHGEF16	chr1	3469434	3469454	+
4|sgMEGF6_4|MEGF6	chr1	3507806	3507826	+
4|sgMEGF6_2|MEGF6	chr1	3509880	3509900	-
4|sgMEGF6_3|MEGF6	chr1	3511569	3511589	+
